pl_name,hostname,sy_snum,pl_controv_flag,pl_orbper,pl_rade,pl_bmasse,pl_eqt,st_spectype,st_teff
Kepler-65 d,Kepler-65,1,0,8.13167,1.587,4.14,,,
Kepler-60 d,Kepler-60,1,0,11.8981,1.99,4.16,,,5905
Kepler-60 b,Kepler-60,1,0,7.1334,1.71,4.19,,,5905
K2-3 c,K2-3,1,0,24.6454,1.72,4.2,,,3896
TOI-260 b,TOI-260,1,0,13.475853,1.71,4.23,493,K8 V,4026
Kepler-65 d,Kepler-65,1,0,8.13122484,1.78,4.24829,,,
GJ 9827 b,GJ 9827,1,0,1.208974,1.44,4.28,1035,K7 V,4236
HD 25463 c,HD 25463,1,0,3.04405,1.364,4.3,1586,,6353
K2-36 b,K2-36,1,0,1.422614,1.43,4.3,1328,,4916
Kepler-102 b,Kepler-102,1,0,5.28696,0.47,4.3,,,4903
Kepler-102 f,Kepler-102,1,0,27.453592,0.861,4.3,495,,4909
Kepler-11 b,Kepler-11,1,0,10.304,1.71,4.3,,,
Kepler-11 b,Kepler-11,1,0,10.30375,1.97,4.3,,,5680
TOI-5720 b,TOI-5720,1,0,1.4344555,1.09,4.3,708,M3.5 +/- 1.0,3325
HD 219134 b,HD 219134,1,0,3.0935,1.606,4.33612,,K3 V,4699
HD 219134 c,HD 219134,1,0,6.76458,1.511,4.36,782,,4699
Kepler-36 b,Kepler-36,1,0,13.83989,1.486,4.45,978,,5911
HIP 29442 c,HD 42813,1,0,3.53796,1.58,4.5,1217,,5289
HIP 29442 c,HD 42813,1,0,3.5379559,1.551,4.5,1123,,5289
TOI-286 b,TOI-286,1,0,4.5117244,1.42,4.53,979,K3 V,5152
TOI-836 b,TOI-836,1,0,3.81673,1.704,4.53,871,K V,4552
Kepler-102 d,Kepler-102,1,0,10.31173752,1.34,4.54125,,,
Kepler-93 b,Kepler-93,1,0,4.72674,1.569,4.54426,,,5669
Kepler-10 b,Kepler-10,1,0,0.837495,1.416,4.56,1833,,5627
CoRoT-7 b,CoRoT-7,1,0,0.854,1.58,4.6,,,5313
KOI-1599.01,KOI-1599,1,0,20.4415,1.9,4.6,,,
Kepler-10 b,Kepler-10,1,0,0.8374912,1.46,4.6,2160,,5643
Kepler-105 c,Kepler-105,1,0,7.1262,1.31,4.6,,,5827
L 168-9 b,L 168-9,1,0,1.4015,1.39,4.6,965,M1 V,3800
Kepler-10 b,Kepler-10,1,0,0.837491,1.481,4.60853,2130,,5627
HD 136352 b,HD 136352,1,0,11.57779,1.482,4.62,911,,5850
Kepler-139 d,Kepler-139,1,0,7.30569992,1.695,4.65808,,,
Kepler-93 b,Kepler-93,1,0,4.72673978,1.478,4.66,1133,,5669
HD 136352 b,HD 136352,1,0,11.57797,1.664,4.72,905,,5664
HD 3167 b,HD 3167,1,0,0.95965428,1.627,4.73,1777,,5300
HD 219134 b,HD 219134,1,0,3.092926,1.602,4.74,1015,,4699
TOI-178 c,TOI-178,1,0,3.23845,1.669,4.77,873,K,4316
GJ 9827 b,GJ 9827,1,0,1.209,1.571,4.89,,,4255
GJ 9827 b,GJ 9827,1,0,1.2089819,1.577,4.91,,,4340
HD 3167 b,HD 3167,1,0,0.959641,1.67,4.97,1774,,5261
K2-141 b,K2-141,1,0,0.2803244,1.51,4.97,2103,,4570
Kepler-408 b,Kepler-408,1,0,2.46502,0.82,5,,,6104
TOI-776 b,TOI-776,1,0,8.24662,1.798,5,520,,3725
HD 3167 b,HD 3167,1,0,0.959641,1.7,5.02,,K0 V,5261
K2-141 b,K2-141,1,0,0.2803244,1.51,5.08,,,4599
HIP 29442 d,HD 42813,1,0,6.42975,1.37,5.1,998,,5289
GJ 9827 b,GJ 9827,1,0,1.2089819,1.577,5.14,1175,,4305
HIP 29442 d,HD 42813,1,0,6.429575,1.538,5.14,920,,5289
K2-141 b,K2-141,1,0,0.28,1.493,5.16,,,4599
Kepler-102 f,Kepler-102,1,0,27.4536,0.88,5.2,,,4903
Kepler-138 c,Kepler-138,1,0,13.781564,1.67,5.2,,,
TOI-663 d,TOI-663,1,0,7.1027268,1.92,5.2,482,M1 V,3681
Kepler-60 b,Kepler-60,1,0,7.1,1.889,5.26,,,6024
K2-111 b,K2-111,1,0,5.3518,1.82,5.29,,G2,5775
Kepler-106 b,Kepler-106,1,0,6.16486,0.82,5.3,,,5858
K2-141 b,K2-141,1,0,0.2803226,1.54,5.31,2039,K7 V,4373
Kepler-406 b,Kepler-406,1,0,2.42630084,1.451,5.33198,,,
Kepler-100 b,Kepler-100,1,0,6.88706037,1.344,5.44492,,,
Kepler-36 b,Kepler-36,1,0,13.849039,1.582,5.56,,,
K2-111 b,K2-111,1,0,5.3518,1.82,5.58,1309,,5775
HD 3167 b,HD 3167,1,0,0.96,1.626,5.59,,,5261
HD 80653 b,HD 80653,1,0,0.719573,1.613,5.6,,G2,
Kepler-105 c,Kepler-105,1,0,7.12592,1.44,5.6,,,5933
LHS 1140 b,LHS 1140,1,0,24.73723,1.73,5.6,226,M4.5 V,3096
TOI-1798.02,TOI-1798,1,0,0.4378146,1.399,5.6,1936,,5106
HD 3167 b,HD 3167,1,0,0.959632,1.574,5.69,1759,,5286
Kepler-507 b,Kepler-507,1,0,3.56809693,1.284,5.69692,,,
HD 80653 b,HD 80653,1,0,0.719573,1.613,5.72,2463,,5959
TOI-733 b,TOI-733,1,0,4.884765,1.992,5.72,1056,G,5585
CoRoT-7 b,CoRoT-7,1,0,0.85359159,1.585,5.74,1756,,5259
TOI-1235 b,TOI-1235,1,0,3.444717,1.694,5.9,775,M0.5 V,3997
Kepler-80 d,Kepler-80,1,0,3.0723,1.309,5.95,,K5,4540
Kepler-409 b,Kepler-409,1,0,68.9583216,1.199,6,438,,5421
CoRoT-7 b,CoRoT-7,1,0,0.8535,1.528,6.056,,G9 V,5250
K2-131 b,K2-131,1,0,0.369,1.651,6.3,,,5200
Kepler-406 b,Kepler-406,1,0,2.42629,1.43,6.35,,,5538
TOI-1695 b,TOI-1695,1,0,3.1342791,1.9,6.36,698,M1 V,3690
LHS 1140 b,LHS 1140,1,0,24.73694,1.635,6.38,379,,2988
K2-291 b,K2-291,1,0,2.225,1.582,6.4,,,5520
TOI-1266 c,TOI-1266,1,0,18.80152,1.673,6.4,347,M2 V,3573
TOI-1347 c,TOI-1347,1,0,4.841962,1.6,6.4,1000,,5464
K2-291 b,K2-291,1,0,2.225177,1.589,6.49,,,5520
K2-131 b,K2-131,1,0,0.3693038,1.81,6.5,,,5200
Kepler-48 b,Kepler-48,1,0,4.77800403,1.855,6.60916,,,
LHS 1140 b,LHS 1140,1,0,24.73712,1.43,6.65,230,M4.5 V,3131
TOI-1235 b,TOI-1235,1,0,3.444714,1.69,6.69,,M0.5 V,3997
Kepler-80 d,Kepler-80,1,0,3.07222,1.53,6.75,,K5,4540
WASP-47 e,WASP-47,1,0,0.7895933,1.808,6.77,,,5552
Kepler-114 b,Kepler-114,1,0,5.189,1.02,6.8,,,
Kepler-323 c,Kepler-323,1,0,3.5538229,1.57,6.8,1431,,6004
WASP-47 e,WASP-47,1,0,0.789592,1.81,6.83,,,5552
K2-199 b,K2-199,1,0,3.2253993,1.73,6.9,913,,4491
TOI-1235 b,TOI-1235,1,0,3.444729,1.738,6.91,754,,3872
WASP-47 e,WASP-47,1,0,0.79,1.773,6.91,,,5552
LHS 1140 b,LHS 1140,1,0,24.736959,1.727,6.98,235,,3216
CoRoT-7 b,CoRoT-7,1,0,0.853585,1.861,6.99226,1910,,5250
HD 15337 b,HD 15337,1,0,4.75642,1.699,7.2,1006,,5131
HD 219134 f,HD 219134,1,1,22.717,1.31,7.3,523,,4699
K2-38 b,K2-38,1,0,4.01593,1.54,7.3,1266,G2 V,5731
Kepler-339 c,Kepler-339,1,0,6.988,1.16,7.3,,,
Kepler-100 b,Kepler-100,1,0,6.88705,1.32,7.34,,,5825
Kepler-57 c,Kepler-57,1,0,11.609,1.68,7.4,,,
TOI-2095 c,TOI-2095,1,0,28.17232,1.33,7.4,297,M2.5 V,3759
HD 20329 b,HD 20329,1,0,0.926118,1.72,7.42,2141,,5596
Kepler-11 b,Kepler-11,1,0,10.30400497,1.92,7.45449,,,
K2-3 d,K2-3,1,0,44.5631,1.52,7.5,,,3896
K2-415 b,K2-415,1,0,4.0179694,1.015,7.5,412,M5 V,3173
HD 15337 b,HD 15337,1,0,4.75615,1.64,7.51,1001,K1 V,5125
K2-38 b,K2-38,1,0,4.01593,1.655,7.7,1310,,5705
Kepler-107 d,Kepler-107,1,0,7.95839,0.86,7.7,1173,,5854
EPIC 220674823 b,EPIC 220674823,1,0,0.571,1.712,7.72,,,5496
K2-131 b,K2-131,1,0,0.3693038,1.69,7.9,2223,,5120
K2-216 b,K2-216,1,0,2.1748,1.75,8,1103,K5 V,4503
Kepler-106 d,Kepler-106,1,0,23.9802,0.95,8.1,,,5858
EPIC 220674823 b,EPIC 220674823,1,0,0.571292,1.725,8.21,2300,,5532
Kepler-131 c,Kepler-131,1,0,25.5169,0.84,8.25,,,5685
EPIC 220674823 b,EPIC 220674823,1,0,0.571292,1.52,8.36,2333,G5 V,5470
Kepler-9 d,Kepler-9,1,0,1.59295975,1.507,8.41466,,,
Kepler-338 e,Kepler-338,1,0,9.341,1.56,8.5,,,
K2-111 b,K2-111,1,0,5.35117,1.9,8.6,1309,,5730
LHS 1815 b,LHS 1815,1,0,3.81433,1.088,8.7,617,M1,3643
EPIC 249893012 b,EPIC 249893012,1,0,3.5951,1.95,8.75,1616,G8 IV/V,5430
Kepler-184 c,Kepler-184,1,0,20.303,1.95,8.8,,,
Kepler-30 b,Kepler-30,1,0,29.323,1.9,8.8,,,
HD 213885 b,HD 213885,1,0,1.008035,1.745,8.83,2128,G,5978
Kepler-48 d,Kepler-48,1,0,42.89605505,1.98,8.89085,,,
EPIC 220674823 b,EPIC 220674823,1,0,0.571336,1.82,9,2063,,5496
KOI-1599.02,KOI-1599,1,0,13.6088,1.9,9,,,
Kepler-62 b,Kepler-62,1,0,5.714932,1.31,9,750,K2 V,4925
TOI-1347 c,TOI-1347,1,0,4.841968,1.678,9,950,,5493
TOI-1467 b,TOI-1467,1,0,5.97199,1.676,9,506,,3776
WASP-47 e,WASP-47,1,0,0.78961,1.83,9,,,
Kepler-57 c,Kepler-57,1,0,11.6092567,1.55,9.1,,,5145
WASP-47 e,WASP-47,1,0,0.789636,1.82,9.1,,,5576
KOI-3503 b,KOI-3503,1,0,21.185,1.19,9.2,785,,6001
Kepler-107 c,Kepler-107,1,0,4.901452,1.597,9.39,1379,,5854
TOI-784 b,HD 307842,1,0,2.7970365,1.93,9.67,,G,5558
TOI-1075 b,TOI-1075,1,0,0.6047328,1.791,9.95,1323,K9 V/M0 V,3875
Gliese 12 b,Gliese 12,1,0,12.76142,0.9,10,315,M4 V,3253
K2-19 d,K2-19,1,0,2.5081,1.11,10,,,5322
Kepler-107 c,Kepler-107,1,0,4.901452,1.597,10,1378,,5854
Kepler-37 b,Kepler-37,1,0,13.3675,0.32,10,,,5417
Kepler-50 c,Kepler-50,1,0,9.37664325,1.825,10.20333,,,
KOI-3503 c,KOI-3503,1,0,31.828,1.21,10.36,686,,6001
K2-285 e,K2-285,1,0,14.76289,1.95,10.7,501,K2 V,4975
K2-3 d,K2-3,1,0,44.5705,1.53,11.1,,,
TOI-1347 b,TOI-1347,1,0,0.84742346,1.8,11.1,1400,,5464
K2-233 b,K2-233,1,0,2.4675,1.343,11.26,1121,,5033
Kepler-113 b,Kepler-113,1,0,4.754,1.82,11.7,,,4725
Kepler-161 c,Kepler-161,1,0,7.064,1.87,11.8,,,
K2-38 b,K2-38,1,0,4.01593,1.55,12,1184,G2 V,5757
Kepler-37 c,Kepler-37,1,0,21.302,0.75,12,,,5417
Kepler-161 b,Kepler-161,1,0,4.921,1.93,12.1,,,
Kepler-37 d,Kepler-37,1,0,39.7922,1.94,12.2,,,5417
TOI-1347 b,TOI-1347,1,0,0.84742431,1.814,12.2,1698,,5493
WASP-47 e,WASP-47,1,0,0.789593,1.817,12.2,,,5576
Kepler-18 b,Kepler-18,1,0,3.50468755,1.809,12.7511,,,
K2-233 c,K2-233,1,0,7.06005,1.281,12.81,790,,5033
LP 890-9 b,LP 890-9,1,0,2.7299025,1.32,13.2,396,M6 V,2850
TOI-411 b,HD 22946,1,0,4.040295,1.362,13.71,1241,,6169
K2-19 d,K2-19,1,0,2.50856,1.14,14,,,5430
Kepler-62 d,Kepler-62,1,0,18.16406,1.95,14,510,K2 V,4925
Kepler-339 d,Kepler-339,1,0,10.558,1.18,14.7,,,
Kepler-23 b,Kepler-23,1,0,7.107,1.9,15.2,,,
WASP-84 c,WASP-84,1,0,1.4468849,1.95,15.2,1329,K0,
HD 219134 d,HD 219134,1,0,46.859,1.61,16.17,410,,4699
Kepler-450 d,Kepler-450,1,0,7.5144279,0.941,17.6,,,
HD 23472 b,HD 23472,1,0,17.667,1.872,17.92,,,
K2-38 b,K2-38,1,0,4.01593,1.906,19.0698,,,5757
TOI-2285 b,TOI-2285,1,0,27.26955,1.74,19.5,284,,3491
Kepler-54 c,Kepler-54,1,0,12.072,1.32,19.8,,,
Kepler-327 c,Kepler-327,1,0,5.212,1.18,20.3,,,
CoRoT-7 b,CoRoT-7,1,0,0.853585,1.68,21,,G9 V,5275
Kepler-409 b,Kepler-409,1,0,68.9584,1.19,22,,,5460
WASP-47 e,WASP-47,1,0,0.789597,1.829,22,,,5576
Kepler-226 b,Kepler-226,1,0,3.941,1.56,24,,,
LP 890-9 c,LP 890-9,1,0,8.457463,1.367,25.3,272,M6 V,2850
Kepler-128 b,Kepler-128,1,0,15.09,1.13,30.7,,,
TOI-1136 b,TOI-1136,1,0,4.17278,1.9,31,1216,,5805
Kepler-128 c,Kepler-128,1,0,22.804,1.13,33.3,,,
Kepler-203 d,Kepler-203,1,0,11.33,1.22,33.9,,,
Kepler-62 f,Kepler-62,1,0,267.291,1.41,35,208,K2 V,4925
Kepler-122 f,Kepler-122,1,0,56.268,1.75,36,,,
Kepler-62 e,Kepler-62,1,0,122.3874,1.61,36,270,K2 V,4925
Kepler-128 c,Kepler-128,1,0,22.801,1.13,37,,,
WASP-132 c,WASP-132,1,0,1.011534,1.85,37.35,,K4,4714
Kepler-114 c,Kepler-114,1,0,8.041,1.29,40,,,
Kepler-84 b,Kepler-84,1,0,8.726,1.95,40,,,
Kepler-128 b,Kepler-128,1,0,15.09,1.13,42.7,,,
Kepler-52 c,Kepler-52,1,0,16.3850021,1.84,45.4,,,4075
Kepler-79 b,Kepler-79,1,0,13.485,1.92,54.1,,,
TOI-1749 b,TOI-1749,1,0,2.38839,1.39,57,831,M0 V,3985
Kepler-272 b,Kepler-272,1,0,2.971,1.31,78,,,
Kepler-323 c,Kepler-323,1,0,3.554,1.9,79.7,,,
Kepler-349 b,Kepler-349,1,0,5.93,1.86,94.5,,,
Kepler-272 c,Kepler-272,1,0,6.057,1.63,97.8,,,
KOI-4777.01,KOI-4777,1,0,0.412,0.51,99.2,1180,,3515
Kepler-415 b,Kepler-415,1,0,4.176,1.21,119.9,,,
K2-137 b,K2-137,1,0,0.179715,0.89,158.915,1471,M3 V,3492
Kepler-23 b,Kepler-23,1,0,7.1073,1.9,254.3,,,5760
Kepler-323 b,Kepler-323,1,0,1.678,1.67,684.4,,,
